G5a Token Report: input

xh_d = 15.000
phase2 multipliers: tall=2.8, thin=0.35, wide=3.0, flat=0.25
near-square band: [0.9, 1.1]

Counts by kind:
  FLOATER_BLOB_TOKEN: 242
  H_RUN: 456
  WD_SPACE: 346
  WIDE_SPACE: 33

Counts by shape:
  -: 835
  FloaterBlobLike: 242

Token list (sorted by top,left):
  idx  kind               shape            txt len  l   t   r   b   w   h   members
  756  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1156 1338 1179 1361  23  23        1
  757  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  523 1342 546 1348  23   6        1
  758  H_RUN              -                 Y    3  667 1342 714 1367  47  25        3
  759  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1188 1342 1203 1358  15  16        1
  760  H_RUN              -                 Y    2  1002 1346 1024 1364  22  18        2
  761  WD_SPACE           -                 N    0  1132 1346 1140 1364   8  18        0
  762  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  523 1350 546 1356  23   6        1
  763  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  463 1352 468 1364   5  12        1
  764  WD_SPACE           -                 N    0  828 1352 837 1364   9  12        0
  765  H_RUN              -                 Y    1  837 1352 842 1364   5  12        1
  766  H_RUN              -                 Y    1  1140 1352 1145 1364   5  12        1
  767  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1205 1352 1210 1364   5  12        1
  768  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1254 1354 1260 1363   6   9        1
  769  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  650 1375 659 1393   9  18        1
  770  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  558 1376 569 1394  11  18        1
  771  H_RUN              -                 Y    1  591 1376 600 1394   9  18        1
  772  WD_SPACE           -                 N    0  600 1376 609 1394   9  18        0
  773  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  885 1376 896 1394  11  18        1
  774  H_RUN              -                 Y    1  918 1376 927 1394   9  18        1
  775  WD_SPACE           -                 N    0  927 1376 936 1394   9  18        0
  776  H_RUN              -                 Y    1  936 1376 947 1394  11  18        1
  777  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  969 1376 978 1394   9  18        1
  778  H_RUN              -                 Y    1  609 1381 626 1393  17  12        1
  779  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  630 1383 647 1384  17   1        1
  780  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  571 1384 588 1385  17   1        1
  781  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  899 1384 916 1385  17   1        1
  782  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  949 1384 966 1385  17   1        1
  783  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  630 1389 647 1390  17   1        1
  784  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  571 1390 588 1391  17   1        1
  785  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  899 1390 916 1391  17   1        1
  786  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  949 1390 966 1391  17   1        1
  787  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  582 1423 600 1427  18   4        1
  788  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  854 1423 872 1427  18   4        1
  789  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1039 1423 1057 1427  18   4        1
  790  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  602 1424 619 1441  17  17        1
  791  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  688 1424 705 1441  17  17        1
  792  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  875 1424 892 1441  17  17        1
  793  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  961 1424 978 1441  17  17        1
  794  H_RUN              -                 Y    1  561 1429 573 1464  12  35        1
  795  WD_SPACE           -                 N    0  573 1429 578 1464   5  35        0
  796  WIDE_SPACE         -                 N    0  685 1429 712 1464  27  35        0
  797  H_RUN              -                 Y    1  712 1429 720 1464   8  35        1
  798  WD_SPACE           -                 N    0  720 1429 724 1464   4  35        0
  799  WD_SPACE           -                 N    0  733 1429 737 1464   4  35        0
  800  H_RUN              -                 Y    1  737 1429 745 1464   8  35        1
  801  WD_SPACE           -                 N    0  745 1429 752 1464   7  35        0
  802  H_RUN              -                 Y    1  752 1429 764 1464  12  35        1
  803  WD_SPACE           -                 N    0  764 1429 768 1464   4  35        0
  804  WD_SPACE           -                 N    0  819 1429 831 1464  12  35        0
  805  H_RUN              -                 Y    1  831 1429 843 1464  12  35        1
  806  WD_SPACE           -                 N    0  843 1429 847 1464   4  35        0
  807  WIDE_SPACE         -                 N    0  958 1429 984 1464  26  35        0
  808  H_RUN              -                 Y    1  984 1429 992 1464   8  35        1
  809  WD_SPACE           -                 N    0  992 1429 997 1464   5  35        0
  810  H_RUN              -                 Y    2  997 1429 1017 1464  20  35        2
  811  WD_SPACE           -                 N    0  1017 1429 1025 1464   8  35        0
  812  H_RUN              -                 Y    1  1025 1429 1037 1464  12  35        1
  813  WD_SPACE           -                 N    0  1037 1429 1041 1464   4  35        0
  814  WD_SPACE           -                 N    0  1119 1429 1126 1464   7  35        0
  815  H_RUN              -                 Y    1  1126 1429 1134 1464   8  35        1
  816  WD_SPACE           -                 N    0  1134 1429 1138 1464   4  35        0
  817  WD_SPACE           -                 N    0  1147 1429 1151 1464   4  35        0
  818  H_RUN              -                 Y    1  1151 1429 1159 1464   8  35        1
  819  WD_SPACE           -                 N    0  1159 1429 1164 1464   5  35        0
  820  H_RUN              -                 Y    2  121 1431 145 1462  24  31        2
  821  WD_SPACE           -                 N    0  145 1431 155 1455  10  24        0
  822  H_RUN              -                 Y    2  155 1431 180 1462  25  31        2
  823  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  771 1431 789 1435  18   4        1
  824  H_RUN              -                 Y    2  578 1432 606 1464  28  32        2
  825  WD_SPACE           -                 N    0  654 1432 664 1461  10  29        0
  826  H_RUN              -                 Y    1  664 1432 685 1461  21  29        1
  827  H_RUN              -                 Y    2  847 1432 877 1464  30  32        2
  828  WD_SPACE           -                 N    0  926 1432 937 1461  11  29        0
  829  H_RUN              -                 Y    1  937 1432 958 1461  21  29        1
  830  H_RUN              -                 Y    1  1041 1432 1056 1455  15  23        1
  831  WD_SPACE           -                 N    0  1056 1432 1066 1458  10  26        0
  832  H_RUN              -                 Y    1  724 1433 733 1455   9  22        1
  833  H_RUN              -                 Y    1  1138 1433 1147 1455   9  22        1
  834  WIDE_SPACE         -                 N    0  606 1435 631 1464  25  29        0
  835  H_RUN              -                 Y    1  631 1435 654 1458  23  23        1
  836  WD_SPACE           -                 N    0  787 1435 796 1462   9  27        0
  837  H_RUN              -                 Y    1  796 1435 819 1458  23  23        1
  838  WIDE_SPACE         -                 N    0  877 1435 903 1464  26  29        0
  839  H_RUN              -                 Y    1  903 1435 926 1458  23  23        1
  840  H_RUN              -                 Y    1  1066 1435 1089 1458  23  23        1
  841  WD_SPACE           -                 N    0  1089 1435 1098 1458   9  23        0
  842  H_RUN              -                 Y    2  1098 1439 1119 1461  21  22        2
  843  H_RUN              -                 Y    1  768 1440 787 1462  19  22        1
  844  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  523 1442 546 1443  23   1        1
  845  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  523 1449 546 1450  23   1        1
  846  H_RUN              -                 Y    1  1164 1451 1170 1460   6   9        1
  847  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  645 1544 663 1548  18   4        1
  848  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  976 1544 994 1548  18   4        1
  849  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  736 1546 754 1550  18   4        1
  850  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  854 1546 872 1550  18   4        1
  851  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1067 1546 1085 1550  18   4        1
  852  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1188 1546 1206 1550  18   4        1
  853  WD_SPACE           -                 N    0  598 1547 603 1585   5  38        0
  854  H_RUN              -                 Y    1  603 1547 620 1564  17  17        1
  855  WD_SPACE           -                 N    0  925 1547 931 1585   6  38        0
  856  H_RUN              -                 Y    1  931 1547 948 1564  17  17        1
  857  WD_SPACE           -                 N    0  1260 1547 1266 1585   6  38        0
  858  H_RUN              -                 Y    1  1266 1547 1283 1564  17  17        1
  859  WD_SPACE           -                 N    0  242 1550 246 1585   4  35        0
  860  H_RUN              -                 Y    1  246 1550 254 1585   8  35        1
  861  WD_SPACE           -                 N    0  254 1550 258 1585   4  35        0
  862  WD_SPACE           -                 N    0  267 1550 271 1585   4  35        0
  863  H_RUN              -                 Y    1  271 1550 279 1585   8  35        1
  864  H_RUN              -                 Y    1  332 1550 344 1585  12  35        1
  865  WD_SPACE           -                 N    0  344 1550 348 1585   4  35        0
  866  WD_SPACE           -                 N    0  377 1550 384 1585   7  35        0
  867  H_RUN              -                 Y    1  384 1550 392 1585   8  35        1
  868  WD_SPACE           -                 N    0  392 1550 396 1585   4  35        0
  869  WD_SPACE           -                 N    0  405 1550 409 1585   4  35        0
  870  H_RUN              -                 Y    1  409 1550 417 1585   8  35        1
  871  WIDE_SPACE         -                 N    0  417 1550 494 1585  77  35        0
  872  WD_SPACE           -                 N    0  529 1550 546 1585  17  35        0
  873  H_RUN              -                 Y    1  546 1550 554 1585   8  35        1
  874  WD_SPACE           -                 N    0  554 1550 558 1585   4  35        0
  875  WD_SPACE           -                 N    0  567 1550 571 1585   4  35        0
  876  H_RUN              -                 Y    1  571 1550 579 1585   8  35        1
  877  WD_SPACE           -                 N    0  579 1550 586 1585   7  35        0
  878  H_RUN              -                 Y    1  586 1550 598 1585  12  35        1
  879  H_RUN              -                 Y    1  722 1550 730 1585   8  35        1
  880  WD_SPACE           -                 N    0  730 1550 734 1585   4  35        0
  881  WIDE_SPACE         -                 N    0  888 1550 917 1585  29  35        0
  882  H_RUN              -                 Y    1  917 1550 925 1585   8  35        1
  883  H_RUN              -                 Y    1  1052 1550 1060 1585   8  35        1
  884  WD_SPACE           -                 N    0  1060 1550 1064 1585   4  35        0
  885  WIDE_SPACE         -                 N    0  1222 1550 1252 1585  30  35        0
  886  H_RUN              -                 Y    1  1252 1550 1260 1585   8  35        1
  887  WD_SPACE           -                 N    0  1417 1550 1422 1585   5  35        0
  888  H_RUN              -                 Y    3  1422 1550 1463 1585  41  35        3
  889  WD_SPACE           -                 N    0  1463 1550 1484 1585  21  35        0
  890  H_RUN              -                 Y    5  119 1552 209 1576  90  24        5
  891  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1306 1552 1324 1556  18   4        1
  892  H_RUN              -                 Y    3  1484 1552 1552 1576  68  24        3
  893  WD_SPACE           -                 N    0  1552 1552 1561 1583   9  31        0
  894  WD_SPACE           -                 N    0  209 1553 221 1582  12  29        0
  895  H_RUN              -                 Y    1  221 1553 242 1582  21  29        1
  896  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  641 1553 662 1582  21  29        1
  897  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  969 1553 992 1582  23  29        1
  898  H_RUN              -                 Y    1  258 1554 267 1576   9  22        1
  899  H_RUN              -                 Y    2  348 1554 377 1585  29  31        2
  900  H_RUN              -                 Y    1  396 1554 405 1576   9  22        1
  901  H_RUN              -                 Y    2  494 1554 529 1585  35  31        2
  902  H_RUN              -                 Y    1  558 1554 567 1576   9  22        1
  903  H_RUN              -                 Y    2  734 1554 762 1585  28  31        2
  904  WIDE_SPACE         -                 N    0  762 1554 853 1585  91  31        0
  905  H_RUN              -                 Y    2  853 1554 888 1585  35  31        2
  906  H_RUN              -                 Y    2  1064 1555 1094 1585  30  30        2
  907  WIDE_SPACE         -                 N    0  1094 1555 1185 1585  91  30        0
  908  H_RUN              -                 Y    2  1185 1555 1222 1585  37  30        2
  909  H_RUN              -                 Y    3  1369 1560 1417 1576  48  16        3
  910  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1303 1561 1322 1583  19  22        1
  911  H_RUN              -                 Y    1  1561 1561 1580 1583  19  22        1
  912  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  294 1563 317 1564  23   1        1
  913  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  684 1563 707 1564  23   1        1
  914  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1014 1563 1037 1564  23   1        1
  915  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1334 1563 1357 1564  23   1        1
  916  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  294 1570 317 1571  23   1        1
  917  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  664 1570 669 1582   5  12        1
  918  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  684 1570 707 1571  23   1        1
  919  H_RUN              -                 Y    1  772 1570 777 1582   5  12        1
  920  WD_SPACE           -                 N    0  777 1570 781 1582   4  12        0
  921  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  907 1570 912 1582   5  12        1
  922  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  994 1570 999 1582   5  12        1
  923  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1014 1570 1037 1571  23   1        1
  924  H_RUN              -                 Y    1  1104 1570 1109 1582   5  12        1
  925  WD_SPACE           -                 N    0  1109 1570 1113 1582   4  12        0
  926  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1241 1570 1246 1582   5  12        1
  927  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1334 1570 1357 1571  23   1        1
  928  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  422 1572 428 1581   6   9        1
  929  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  480 1572 486 1581   6   9        1
  930  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  624 1572 630 1581   6   9        1
  931  H_RUN              -                 Y    1  781 1572 787 1581   6   9        1
  932  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  838 1572 844 1581   6   9        1
  933  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  952 1572 958 1581   6   9        1
  934  H_RUN              -                 Y    1  1113 1572 1119 1581   6   9        1
  935  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1170 1572 1176 1581   6   9        1
  936  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1287 1572 1293 1581   6   9        1
  937  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1468 1572 1474 1581   6   9        1
  938  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  529 1575 539 1590  10  15        1
  939  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  888 1576 898 1591  10  15        1
  940  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1223 1576 1232 1586   9  10        1
  941  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1225 1611 1243 1615  18   4        1
  942  H_RUN              -                 Y    2  697 1613 719 1630  22  17        2
  943  WD_SPACE           -                 N    0  719 1613 730 1642  11  29        0
  944  WD_SPACE           -                 N    0  693 1614 697 1651   4  37        0
  945  WD_SPACE           -                 N    0  604 1616 617 1651  13  35        0
  946  H_RUN              -                 Y    2  617 1616 642 1651  25  35        2
  947  H_RUN              -                 Y    2  658 1616 693 1651  35  35        2
  948  WD_SPACE           -                 N    0  1035 1616 1051 1651  16  35        0
  949  H_RUN              -                 Y    1  1051 1616 1063 1651  12  35        1
  950  WD_SPACE           -                 N    0  1063 1616 1068 1651   5  35        0
  951  WD_SPACE           -                 N    0  1177 1616 1194 1651  17  35        0
  952  H_RUN              -                 Y    1  1194 1616 1206 1651  12  35        1
  953  WD_SPACE           -                 N    0  1337 1616 1342 1651   5  35        0
  954  H_RUN              -                 Y    1  1342 1616 1350 1651   8  35        1
  955  WD_SPACE           -                 N    0  1350 1616 1354 1651   4  35        0
  956  H_RUN              -                 Y    2  1354 1616 1380 1651  26  35        2
  957  WD_SPACE           -                 N    0  1380 1616 1400 1651  20  35        0
  958  WD_SPACE           -                 N    0  223 1618 233 1642  10  24        0
  959  H_RUN              -                 Y    1  233 1618 256 1642  23  24        1
  960  WIDE_SPACE         -                 N    0  256 1618 282 1642  26  24        0
  961  WD_SPACE           -                 N    0  299 1618 311 1642  12  24        0
  962  H_RUN              -                 Y    1  311 1618 334 1642  23  24        1
  963  WD_SPACE           -                 N    0  334 1618 356 1642  22  24        0
  964  H_RUN              -                 Y    5  459 1618 551 1642  92  24        5
  965  H_RUN              -                 Y    3  561 1618 604 1642  43  24        3
  966  WD_SPACE           -                 N    0  642 1618 658 1642  16  24        0
  967  H_RUN              -                 Y    7  730 1618 843 1642 113  24        7
  968  WIDE_SPACE         -                 N    0  912 1618 950 1649  38  31        0
  969  H_RUN              -                 Y    1  950 1618 964 1642  14  24        1
  970  WD_SPACE           -                 N    0  964 1618 980 1642  16  24        0
  971  H_RUN              -                 Y    1  1068 1618 1080 1642  12  24        1
  972  WIDE_SPACE         -                 N    0  1080 1618 1154 1642  74  24        0
  973  H_RUN              -                 Y    1  1154 1618 1177 1642  23  24        1
  974  H_RUN              -                 Y    4  1400 1618 1465 1642  65  24        4
  975  WD_SPACE           -                 N    0  1465 1618 1476 1642  11  24        0
  976  H_RUN              -                 Y    4  119 1619 200 1651  81  32        4
  977  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1227 1619 1242 1642  15  23        1
  978  H_RUN              -                 Y    1  1476 1619 1491 1642  15  23        1
  979  WD_SPACE           -                 N    0  1491 1619 1499 1642   8  23        0
  980  H_RUN              -                 Y    5  1499 1619 1580 1651  81  32        5
  981  H_RUN              -                 Y    5  356 1621 450 1642  94  21        5
  982  WD_SPACE           -                 N    0  551 1621 561 1642  10  21        0
  983  WD_SPACE           -                 N    0  843 1621 852 1642   9  21        0
  984  WD_SPACE           -                 N    0  1004 1624 1018 1643  14  19        0
  985  H_RUN              -                 Y    1  1018 1624 1035 1643  17  19        1
  986  H_RUN              -                 Y    1  282 1625 299 1642  17  17        1
  987  WD_SPACE           -                 N    0  200 1626 209 1651   9  25        0
  988  WD_SPACE           -                 N    0  450 1626 459 1642   9  16        0
  989  H_RUN              -                 Y    2  852 1626 874 1642  22  16        2
  990  WD_SPACE           -                 N    0  874 1626 884 1651  10  25        0
  991  H_RUN              -                 Y    2  884 1626 912 1651  28  25        2
  992  H_RUN              -                 Y    1  980 1626 1004 1642  24  16        1
  993  H_RUN              -                 Y    3  1289 1626 1337 1642  48  16        3
  994  H_RUN              -                 Y    1  209 1627 223 1642  14  15        1
  995  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1254 1629 1277 1630  23   1        1
  996  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  256 1635 269 1654  13  19        1
  997  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  333 1635 346 1654  13  19        1
  998  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1177 1635 1190 1654  13  19        1
  999  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1254 1636 1277 1637  23   1        1
  1000  H_RUN              -                 Y    1  914 1637 931 1649  17  12        1
  1001  WD_SPACE           -                 N    0  931 1637 935 1649   4  12        0
  1002  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  644 1638 650 1647   6   9        1
  1003  H_RUN              -                 Y    1  935 1638 941 1647   6   9        1
  1004  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  966 1638 972 1647   6   9        1
  1005  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1083 1638 1089 1647   6   9        1
  1006  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1141 1638 1147 1647   6   9        1
  1007  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1210 1638 1216 1647   6   9        1
  1008  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1385 1638 1391 1647   6   9        1
  1009  H_RUN              -                 Y    2  546 1679 568 1696  22  17        2
  1010  WD_SPACE           -                 N    0  568 1679 579 1708  11  29        0
  1011  WD_SPACE           -                 N    0  542 1680 546 1717   4  37        0
  1012  WD_SPACE           -                 N    0  464 1682 476 1717  12  35        0
  1013  H_RUN              -                 Y    2  476 1682 501 1717  25  35        2
  1014  H_RUN              -                 Y    2  516 1682 542 1717  26  35        2
  1015  WD_SPACE           -                 N    0  834 1682 850 1717  16  35        0
  1016  H_RUN              -                 Y    1  850 1682 862 1717  12  35        1
  1017  WD_SPACE           -                 N    0  862 1682 866 1717   4  35        0
  1018  WD_SPACE           -                 N    0  976 1682 993 1717  17  35        0
  1019  H_RUN              -                 Y    1  993 1682 1005 1717  12  35        1
  1020  WD_SPACE           -                 N    0  1005 1682 1017 1717  12  35        0
  1021  WD_SPACE           -                 N    0  1124 1682 1140 1717  16  35        0
  1022  H_RUN              -                 Y    1  1140 1682 1152 1717  12  35        1
  1023  WD_SPACE           -                 N    0  1152 1682 1157 1717   5  35        0
  1024  WD_SPACE           -                 N    0  1278 1682 1284 1717   6  35        0
  1025  H_RUN              -                 Y    1  1284 1682 1296 1717  12  35        1
  1026  WD_SPACE           -                 N    0  1296 1682 1300 1717   4  35        0
  1027  WD_SPACE           -                 N    0  135 1684 145 1708  10  24        0
  1028  H_RUN              -                 Y    1  145 1684 168 1708  23  24        1
  1029  WIDE_SPACE         -                 N    0  168 1684 194 1708  26  24        0
  1030  WD_SPACE           -                 N    0  211 1684 223 1708  12  24        0
  1031  H_RUN              -                 Y    1  223 1684 246 1708  23  24        1
  1032  H_RUN              -                 Y    5  371 1684 464 1708  93  24        5
  1033  H_RUN              -                 Y    7  579 1684 692 1708 113  24        7
  1034  WD_SPACE           -                 N    0  723 1684 734 1708  11  24        0
  1035  H_RUN              -                 Y    4  734 1684 779 1715  45  31        4
  1036  WD_SPACE           -                 N    0  779 1684 789 1713  10  29        0
  1037  H_RUN              -                 Y    1  789 1684 803 1708  14  24        1
  1038  WD_SPACE           -                 N    0  803 1684 817 1709  14  25        0
  1039  H_RUN              -                 Y    1  866 1684 878 1708  12  24        1
  1040  H_RUN              -                 Y    1  953 1684 976 1708  23  24        1
  1041  H_RUN              -                 Y    3  1017 1684 1070 1708  53  24        3
  1042  WD_SPACE           -                 N    0  1070 1684 1079 1708   9  24        0
  1043  H_RUN              -                 Y    1  1079 1684 1094 1708  15  24        1
  1044  WD_SPACE           -                 N    0  1094 1684 1107 1709  13  25        0
  1045  H_RUN              -                 Y    1  1157 1684 1169 1708  12  24        1
  1046  H_RUN              -                 Y    2  1243 1684 1278 1713  35  29        2
  1047  H_RUN              -                 Y    3  1316 1684 1369 1708  53  24        3
  1048  WD_SPACE           -                 N    0  1369 1684 1381 1711  12  27        0
  1049  WD_SPACE           -                 N    0  1404 1684 1415 1711  11  27        0
  1050  H_RUN              -                 Y    7  1415 1684 1526 1708 111  24        7
  1051  H_RUN              -                 Y    3  1536 1684 1579 1708  43  24        3
  1052  H_RUN              -                 Y    6  268 1687 362 1708  94  21        6
  1053  WD_SPACE           -                 N    0  692 1687 701 1708   9  21        0
  1054  WD_SPACE           -                 N    0  1526 1687 1536 1708  10  21        0
  1055  H_RUN              -                 Y    1  1381 1688 1404 1711  23  23        1
  1056  H_RUN              -                 Y    1  817 1690 834 1709  17  19        1
  1057  H_RUN              -                 Y    1  1107 1690 1124 1709  17  19        1
  1058  H_RUN              -                 Y    1  194 1691 211 1708  17  17        1
  1059  WD_SPACE           -                 N    0  362 1692 371 1708   9  16        0
  1060  H_RUN              -                 Y    2  701 1692 723 1708  22  16        2
  1061  H_RUN              -                 Y    1  121 1693 135 1708  14  15        1
  1062  WD_SPACE           -                 N    0  1306 1693 1316 1713  10  20        0
  1063  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  168 1701 181 1720  13  19        1
  1064  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  246 1701 258 1713  12  12        1
  1065  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  975 1701 988 1720  13  19        1
  1066  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  503 1704 509 1713   6   9        1
  1067  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  882 1704 888 1713   6   9        1
  1068  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  939 1704 945 1713   6   9        1
  1069  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1172 1704 1178 1713   6   9        1
  1070  FLOATER_BLOB_TOKEN  FloaterBlobLike   N    1  1230 1704 1236 1713   6   9        1
  1071  H_RUN              -                 Y    1  1300 1704 1306 1713   6   9        1
  1072  H_RUN              -                 Y    8  121 1750 271 1775 150  25        8
  1073  H_RUN              -                 Y    7  281 1751 396 1784 115  33        7
  1074  WD_SPACE           -                 N    0  271 1759 281 1784  10  25        0
  1075  H_RUN              -                 Y    1  835 2059 847 2083  12  24        1
  1076  WD_SPACE           -                 N    0  847 2059 851 2083   4  24        0
  1077  H_RUN              -                 Y    1  851 2060 866 2083  15  23        1
